Authors,Publication_year,Title,Publication_page_link,Authors_profile_page_link
Wimpenny K,2021,Internationalisation in the classroom and questions of alignment: embedding COIL in an internationalised curriculum,https://pureportal.coventry.ac.uk/en/publications/internationalisation-in-the-classroom-and-questions-of-alignment-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
DeWinter A Wimpenny K,2021,"JOVITAL - Jordan Opportunity for Virtual Innovative Teaching and Learning Final Report on project activity and impact evaluation 2017-2021: International Online Teaching and Learning, with particular attention to the Jordanian Case ",https://pureportal.coventry.ac.uk/en/publications/jovital-jordan-opportunity-for-virtual-innovative-teaching-and-le,"https://pureportal.coventry.ac.uk/en/persons/alun-dewinter, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
Lawson D,2021,Lessons for mathematics higher education from 25 years of mathematics support,https://pureportal.coventry.ac.uk/en/publications/lessons-for-mathematics-higher-education-from-25-years-of-mathema,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
Arnab S Wimpenny K,2021,Measuring Early-Primary Students Resilience through Playful Learning,https://pureportal.coventry.ac.uk/en/publications/measuring-early-primary-students-resilience-through-playful-learn,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
Tramontano C,2021,Measuring Prosocial Behaviors: Psychometric Properties and Cross-National Validation of the Prosociality Scale in Five Countries,https://pureportal.coventry.ac.uk/en/publications/measuring-prosocial-behaviors-psychometric-properties-and-cross-n,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
DeWinter A Harrison P Wimpenny K,2021,Motivation factors in student decisions to study Transnational Higher Education in China: a comparative study of two Anglo-Sino programmes,https://pureportal.coventry.ac.uk/en/publications/enhancing-transnational-education-tne-programmes-understanding-st,"https://pureportal.coventry.ac.uk/en/persons/alun-dewinter, https://pureportal.coventry.ac.uk/en/persons/peter-harrison, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
Fero K,2021,Obstinate Memory: Documentary as trauma in disrupting state narratives on racial violence,https://pureportal.coventry.ac.uk/en/publications/obstinate-memory-documentary-as-trauma-in-disrupting-state-narrat,https://pureportal.coventry.ac.uk/en/persons/ken-fero
Wimpenny K,2021,Online Pedagogies Beyond the Classroom,https://pureportal.coventry.ac.uk/en/publications/online-pedagogies-beyond-the-classroom,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Karakus M,2021,Outcomes of school administrators’ emotion management: A review of evidence in Asian countries,https://pureportal.coventry.ac.uk/en/publications/outcomes-of-school-administrators-emotion-management-a-review-of-,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Wimpenny K,2021,Practising cultural sensitivity in virtual spaces: Virtual International Cultural Diversity Festival,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces-virtual-interna,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Karakus M,2021,"Self-efficacy, affective well-being, and intent-to-leave by science and mathematics teachers: A structural equation model",https://pureportal.coventry.ac.uk/en/publications/self-efficacy-affective-well-being-and-intent-to-leave-by-science,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Karakus M,2021,"Spirituality and Well-Being of Children, Adolescent, and Adult Students: A Scientific Mapping of the Literature",https://pureportal.coventry.ac.uk/en/publications/spirituality-and-well-being-of-children-adolescent-and-adult-stud,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Nesi H Alsop S,2021,Stories and scenarios: lecturers’ use of fantastic hypothetical events,https://pureportal.coventry.ac.uk/en/publications/stories-and-scenarios-lecturers-use-of-fantastic-hypothetical-eve,"https://pureportal.coventry.ac.uk/en/persons/hilary-nesi, https://pureportal.coventry.ac.uk/en/persons/sian-alsop"
Wimpenny K DeWinter A Harrison P,2021,Students’ perceptions and experiences of teaching and learning in transnational higher education in China: implications of the intercultural dialogue framework,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-teaching-and-learning-in-,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter, https://pureportal.coventry.ac.uk/en/persons/peter-harrison"
Hodds M,2021,The early impact of the Covid-19 pandemic on mathematical competencies on entry into a UK university,https://pureportal.coventry.ac.uk/en/publications/the-early-impact-of-the-covid-19-pandemic-on-mathematical-compete,https://pureportal.coventry.ac.uk/en/persons/mark-hodds
Karakus M,2021,The Factors Predicting the Achievement of the Immigrant Students: A Multilevel Analysis of PISA 2018,https://pureportal.coventry.ac.uk/en/publications/the-factors-predicting-the-achievement-of-the-immigrant-students-,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Morini L,2021,The Promise of Higher Education,https://pureportal.coventry.ac.uk/en/publications/the-promise-of-higher-education,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Enderby J Carroll J,2021,"The roles of morphology, phonology and prosody in reading and spelling multisyllabic words",https://pureportal.coventry.ac.uk/en/publications/the-roles-of-morphology-phonology-and-prosody-in-reading-and-spel,"https://pureportal.coventry.ac.uk/en/persons/jodie-enderby, https://pureportal.coventry.ac.uk/en/persons/julia-carroll"
Arnab S Masters A Morini L,2021,"Towards the mapping of learning, playful, and frugal aspects for developing 21st century competencies and resilience",https://pureportal.coventry.ac.uk/en/publications/towards-the-mapping-of-learning-playful-and-frugal-aspects-for-de,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/alex-masters, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
Crawford M,2021,Unlocking creative leadership in the primary school,https://pureportal.coventry.ac.uk/en/publications/unlocking-creative-leadership-in-the-primary-school,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Alsop S,2021,Uses of corpus linguistics in education research: An adjustable lens,https://pureportal.coventry.ac.uk/en/publications/uses-of-corpus-linguistics-in-education-research-an-adjustable-le,https://pureportal.coventry.ac.uk/en/persons/sian-alsop
Angelov D,2021,Using narrative conventions to analyse travel stories,https://pureportal.coventry.ac.uk/en/publications/using-narrative-conventions-to-analyse-travel-stories,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov
Jacobo J,2021,Where Her Breast Wasn't There: Transfemininity and the Philippine Modern,https://pureportal.coventry.ac.uk/en/publications/where-her-breast-wasnt-there-transfemininity-and-the-philippine-m,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
Clouder L,2021,Who am I today? Academic staff being and becoming doctoral students,https://pureportal.coventry.ac.uk/en/publications/who-am-i-today-academic-staff-being-and-becoming-doctoral-student,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Gilbert H Hodds M Lawson D,2021,“Everyone seems to be agreeing at the minute that face-to-face is the way forward”: Practitioners’ perspectives on post-pandemic Mathematics and Statistics Support,https://pureportal.coventry.ac.uk/en/publications/everyone-seems-to-be-agreeing-at-the-minute-that-face-to-face-is-,"https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert, https://pureportal.coventry.ac.uk/en/persons/mark-hodds, https://pureportal.coventry.ac.uk/en/persons/duncan-lawson"
Wimpenny K,2020,Academic development to support the internationalization of the curriculum (IoC): A qualitative research synthesis,https://pureportal.coventry.ac.uk/en/publications/academic-development-to-support-the-internationalization-of-the-c,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Alsop S Gardner S,2020,A corpus-driven investigation of connections between the language of written feedback information and ethnic attainment disparity in UK higher education,https://pureportal.coventry.ac.uk/en/publications/a-corpus-driven-investigation-of-connections-between-the-language,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
Clouder D,2020,A qualitative research synthesis exploring professional touch in healthcare practice using the threshold concept framework,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-research-synthesis-exploring-professional-touch-in-,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Wimpenny K,2020,Breaking boundaries and building bridges across knowledge-sharing communities: OpenMed,https://pureportal.coventry.ac.uk/en/publications/breaking-boundaries-and-building-bridges-across-knowledge-sharing,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Wimpenny K,2020,Cultural diversity in the adoption of open education in the Mediterranean basin: collectivist values and power distance in the universities of the Middle East,https://pureportal.coventry.ac.uk/en/publications/cultural-diversity-in-the-adoption-of-open-education-in-the-medit,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Dang Q A,2020,"Curbing university autonomy and academic freedom in the name of quality assurance, accountability and internationalisation in East Asia",https://pureportal.coventry.ac.uk/en/publications/curbing-university-autonomy-and-academic-freedom-in-the-name-of-q,https://pureportal.coventry.ac.uk/en/persons/que-anh-dang
Wimpenny K,2020,Decolonising academic selves through auto-ethnography,https://pureportal.coventry.ac.uk/en/publications/decolonising-academic-selves-through-auto-ethnography,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Chen Y F,2020,Enhancing school safety through university engagement in DRR education,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-safety-through-university-engagement-in-drr-educ,https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen
Clouder L,2020,Friend or Foe: the complexities of being an academic and a doctoral student in the same institution,https://pureportal.coventry.ac.uk/en/publications/friend-or-foe-the-complexities-of-being-an-academic-and-a-doctora,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Wimpenny K,2020,From COIL to curriculum transformation in South Africa: How can curriculum decolonization operate in the third space in Global South-North collaborations?,https://pureportal.coventry.ac.uk/en/publications/from-coil-to-curriculum-transformation-in-south-africa-how-can-cu,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Wimpenny K Orsini-Jones M,2020,Innovation in Collaborative Online International Learning: A Holistic Blend,https://pureportal.coventry.ac.uk/en/publications/innovation-in-collaborative-online-international-learning-a-holis,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones"
Clouder D,2020,Juggling competing activities: academic staff as doctoral candidates,https://pureportal.coventry.ac.uk/en/publications/juggling-competing-activities-academic-staff-as-doctoral-candidat,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Tramontano C,2020,"Mapping Community, Social, and Economic risks to investigate the association with school violence and bullying in Italy",https://pureportal.coventry.ac.uk/en/publications/mapping-community-social-and-economic-risks-to-investigate-the-as,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
Clouder D Karakus M,2020,Neurodiversity in higher education: a narrative synthesis,https://pureportal.coventry.ac.uk/en/publications/neurodiversity-in-higher-education-a-narrative-synthesis,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus"
Carroll J,2020,"Protocol for a systematic review of measures of attainment in literacy, mathematics and science.",https://pureportal.coventry.ac.uk/en/publications/protocol-for-a-systematic-review-of-measures-of-attainment-in-lit,https://pureportal.coventry.ac.uk/en/persons/julia-carroll
Bluteau P,2020,Students’ engagement and learning experiences using virtual patient simulation in a computer supported collaborative learning environment,https://pureportal.coventry.ac.uk/en/publications/students-engagement-and-learning-experiences-using-virtual-patien,https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau
Morini L,2020,The Anti-Ecological University,https://pureportal.coventry.ac.uk/en/publications/the-anti-ecological-university,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Lawson D,2020,The evolution of mathematics support: a literature review,https://pureportal.coventry.ac.uk/en/publications/the-evolution-of-mathematics-support-a-literature-review,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
Lawson D,2020,The extent and uptake of mathematics support in higher education: results from the 2018 survey,https://pureportal.coventry.ac.uk/en/publications/the-extent-and-uptake-of-mathematics-support-in-higher-education-,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
Tramontano C,2020,The Role of Traditional and Online Moral Disengagement on Cyberbullying: Do Externalising Problems Make Any Difference?,https://pureportal.coventry.ac.uk/en/publications/the-role-of-traditional-and-online-moral-disengagement-on-cyberbu,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
Jacobo J,2020,Towards a Final Absolution: A South by South Approach to Trans Resistance from Brazil and the Philippines,https://pureportal.coventry.ac.uk/en/publications/towards-a-final-absolution-a-south-by-south-approach-to-trans-res,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
Morini L,2020,"You Can Deny Seriousness, But You Can’t Deny Play’: Emergent Resistance to Purposive Games.",https://pureportal.coventry.ac.uk/en/publications/you-can-deny-seriousness-but-you-cant-deny-play-emergent-resistan,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Arnab S Morini L Clarke S,2019,A participatory co-creation model to drive community engagement in rural indigenous schools: A case study in Sarawak,https://pureportal.coventry.ac.uk/en/publications/a-participatory-co-creation-model-to-drive-community-engagement-i,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/samantha-clarke"
Arnab S Morini L,2019,Assessment of co-creativity in the process of game design,https://pureportal.coventry.ac.uk/en/publications/assessment-of-co-creativity-in-the-process-of-game-design,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
Solomons Z,2019,A Synthesis of the South African Educational Landscape and a Critical Analysis of Student Attainment.,https://pureportal.coventry.ac.uk/en/publications/a-synthesis-of-the-south-african-educational-landscape-and-a-crit,https://pureportal.coventry.ac.uk/en/persons/zaira-solomons
Karakus M,2019,Augmented Reality Research in Education: A Bibliometric Study,https://pureportal.coventry.ac.uk/en/publications/augmented-reality-research-in-education-a-bibliometric-study,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Holliday N Carroll J,2019,Can the Benefits of Creative Methods Support the Inclusion of Children as part of Intergenerational Research Projects?,https://pureportal.coventry.ac.uk/en/publications/can-the-benefits-of-creative-methods-support-the-inclusion-of-chi,"https://pureportal.coventry.ac.uk/en/persons/nikki-holliday, https://pureportal.coventry.ac.uk/en/persons/julia-carroll"
Wimpenny K DeWinter A,2019,Capacity Building for Virtual Innovative Teaching and Learning in Jordan – Experiences of the JOVITAL project,https://pureportal.coventry.ac.uk/en/publications/capacity-building-for-virtual-innovative-teaching-and-learning-in,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
Wimpenny K,2019,Carnival of invention,https://pureportal.coventry.ac.uk/en/publications/carnival-of-invention,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Crawford M,2019,"Connecting Leadership, Professional Development and Affect",https://pureportal.coventry.ac.uk/en/publications/connecting-leadership-professional-development-and-affect,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Carroll J,2019,Developmental Language Disorder: Cognition in Childhood,https://pureportal.coventry.ac.uk/en/publications/developmental-language-disorder-cognition-in-childhood,https://pureportal.coventry.ac.uk/en/persons/julia-carroll
Grant C Tramontano C,2019,Filling the Puzzle: Using E-Work Wellbeing scale (EWW) to determine links between remote e-working and cognitive weariness and psychosomatic conditions,https://pureportal.coventry.ac.uk/en/publications/filling-the-puzzle-using-e-work-wellbeing-scale-eww-to-determine-,"https://pureportal.coventry.ac.uk/en/persons/christine-grant, https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano"
Morini L Arnab S,2019,Game-based learning to teach higher order thinking in rural schools: Case studies in Sarawak Borneo,https://pureportal.coventry.ac.uk/en/publications/game-based-learning-to-teach-higher-order-thinking-in-rural-schoo,"https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab"
Wimpenny K,2019,Global knowledge-exchange for widening participation in learning through Open Education Practices,https://pureportal.coventry.ac.uk/en/publications/global-knowledge-exchange-for-widening-participation-in-learning-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Crawford M,2019,Headteacher performance management in England: Balancing internal and external accountability through performance leadership,https://pureportal.coventry.ac.uk/en/publications/headteacher-performance-management-in-england-balancing-internal-,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Gakhal S,2019,"Is students' qualitative feedback changing, now it is online?",https://pureportal.coventry.ac.uk/en/publications/is-students-qualitative-feedback-changing-now-it-is-online,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
Cappy G,2019,Promoting Active Learning in Universities: Thematic Peer Group Report,https://pureportal.coventry.ac.uk/en/publications/promoting-active-learning-in-universities-thematic-peer-group-rep,https://pureportal.coventry.ac.uk/en/persons/grace-cappy
Johnson E,2019,Representation of Faith Using Social Media,https://pureportal.coventry.ac.uk/en/publications/representation-of-faith-using-social-media,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
Morini L,2019,Research as a Game of Empire,https://pureportal.coventry.ac.uk/en/publications/research-as-a-game-of-empire,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Wimpenny K,2019,Socially committed practice: issues of authenticity in arts related research,https://pureportal.coventry.ac.uk/en/publications/socially-committed-practice-issues-of-authenticity-in-arts-relate,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Aslam F Bagiya Y,2019,STEM outreach activities: an approach to teachers' professional development,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev-3,"https://pureportal.coventry.ac.uk/en/persons/farzana-aslam, https://pureportal.coventry.ac.uk/en/persons/yamuna-dass"
Wimpenny K,2019,"The attrition factor: Student engagement and teacher commitment in online, intercultural Higher Education settings",https://pureportal.coventry.ac.uk/en/publications/the-attrition-factor-student-engagement-and-teacher-commitment-in,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Jacobo J,2019,"The Bakla, The Agi: Our Genders Which Are Not One",https://pureportal.coventry.ac.uk/en/publications/the-bakla-the-agi-our-genders-which-are-not-one,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
Wimpenny K Dewinter A,2019,The JOVITAL Project: Capacity Building for Virtual Innovative Teaching and Learning in Jordan,https://pureportal.coventry.ac.uk/en/publications/the-jovital-project-capacity-building-for-virtual-innovative-teac,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
Gakhal S,2019,The problem is here and now – assessing current student attainment gaps to inform change to institutional student experience provision,https://pureportal.coventry.ac.uk/en/publications/the-problem-is-here-and-now-assessing-current-student-attainment-,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
Clouder D Cawston J Wimpenny K,2019,The role of assistive technology in renegotiating the inclusion of students with disabilities in Higher Education in North Africa,https://pureportal.coventry.ac.uk/en/publications/the-role-of-assistive-technology-in-renegotiating-the-inclusion-o,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
Johnson E,2019,To Grow a Tree,https://pureportal.coventry.ac.uk/en/publications/to-grow-a-tree,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
Alsop S Gardner S,2019,Understanding attainment disparity: A corpus-driven analysis of the language used in written feedback information to students of different backgrounds.,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-a-corpus-driven-analysis-of-th,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
Alsop S Gardner S,2019,Understanding Attainment Disparity: The Case for a Corpus-Driven Analysis of the Language used in Written Feedback Information to Students of Different Backgrounds ,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-the-case-for-a-corpus-driven-a,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
Morini L,2019,Universities: increasingly stressful environments taking psychological toll – here’s what needs to change,https://pureportal.coventry.ac.uk/en/publications/universities-increasingly-stressful-environments-taking-psycholog,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Alsop S Gardner S,2019,What can corpus analysis tell us about attainment disparity? A pilot analysis of written feedback information to students from two faculties.,https://pureportal.coventry.ac.uk/en/publications/what-can-corpus-analysis-tell-us-about-attainment-disparity-a-pil,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
Holmes S,2019,“We now know how to learn” - Introducing student-centred teaching and learning in Jordan,https://pureportal.coventry.ac.uk/en/publications/we-now-know-how-to-learn-introducing-student-centred-teaching-and,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Gakhal S,2018,Achieving Excellence By Helping More Students To Get On – Trialling New Tools To Demonstrate What Works,https://pureportal.coventry.ac.uk/en/publications/achieving-excellence-by-helping-more-students-to-get-on-trialling,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
Johnson E Evans A,2018,Ady's interlude: On Lad Culture,https://pureportal.coventry.ac.uk/en/publications/adys-interlude-on-lad-culture,"https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson, https://pureportal.coventry.ac.uk/en/persons/ady-evans"
Brown G Fried J,2018,"An evaluation of Unlocking Nature, Greening the prison environment: Unlocking Nature ",https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-unlocking-nature-greening-the-prison-environment,"https://pureportal.coventry.ac.uk/en/persons/geraldine-brown, https://pureportal.coventry.ac.uk/en/persons/jana-fried"
Wimpenny K,2018,A new approach to digital competence building for university educators in Europe,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Wimpenny K,2018,A New Approach to Digital Competence Building for University Educators in Europe,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ-2,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Holmes S,2018,"An investigation into how to assess the quality of education through curriculum intent, implementation and impact",https://pureportal.coventry.ac.uk/en/publications/an-investigation-into-how-to-assess-the-quality-of-education-thro,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Arnab S Morini L Clarke S,2018,Case study: Game design thinking as a strategy for community engagement in a rural indigenous village,https://pureportal.coventry.ac.uk/en/publications/case-study-game-design-thinking-as-a-strategy-for-community-engag,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/samantha-clarke"
Arnab S Morini L,2018,Co-creativity assessment in the process of game creation,https://pureportal.coventry.ac.uk/en/publications/co-creativity-assessment-in-the-process-of-game-creation,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
Wimpenny K,2018,"Collaborative Poetics Network: A Pilot Study Exploring the Potential of Collaborative, Arts-based Research",https://pureportal.coventry.ac.uk/en/publications/collaborative-poetics-network-a-pilot-study-exploring-the-potenti,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Morini L Arnab S,2018,"Engaging primary schools in rural Malaysia with Game-Based Learning: Culture, Pedagogy, Technology",https://pureportal.coventry.ac.uk/en/publications/engaging-primary-schools-in-rural-malaysia-with-game-based-learni,"https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab"
Wimpenny K,2018,Exploring multicultural e-learning through a blended course across the Mediterranean,https://pureportal.coventry.ac.uk/en/publications/exploring-multicultural-e-learning-through-a-blended-course-acros,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Wimpenny K,2018,Facilitators' Perspectives as Mediators of the Local Learning Circles of the OpenMed Open Course,https://pureportal.coventry.ac.uk/en/publications/facilitators-perspectives-as-mediators-of-the-local-learning-circ,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Johnson E Alkali M,2018,Hong Kong New Wave Reflection,https://pureportal.coventry.ac.uk/en/publications/hong-kong-new-wave-reflection,"https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson, https://pureportal.coventry.ac.uk/en/persons/mabel-alkali"
Johnson E,2018,Identity (Hong Kong New Wave Short Film),https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
Johnson E,2018,Identity (Hong Kong New Wave Short Film): Director's Commentary,https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film-directors-commentary,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
Wimpenny K DeWinter A,2018,"Jordan Opportunity for Virtual Innovative Teaching and Learning: A Needs Analysis Report Contextualising the State of the Art in International Online Teaching and Learning, with Particular Attention to the Jordanian Case",https://pureportal.coventry.ac.uk/en/publications/jordan-opportunity-for-virtual-innovative-teaching-and-learning-a,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
Wimpenny K,2018,Lessons learnt from the collaborative creation and piloting of a course in Open Education for the South Mediterranean region,https://pureportal.coventry.ac.uk/en/publications/lessons-learnt-from-the-collaborative-creation-and-piloting-of-a-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Crawford M,2018,Methodological issues in researching maladministration,https://pureportal.coventry.ac.uk/en/publications/methodological-issues-in-researching-maladministration,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Holmes S,2018,Monitoring and evaluation of the TEPD – 2018 annual report,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-tepd-2018-annual-report,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Holmes S,2018,"Obesity, healthy eating and physical activity in primary schools",https://pureportal.coventry.ac.uk/en/publications/obesity-healthy-eating-and-physical-activity-in-primary-schools,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Wimpenny K Merry S K,2018,OpenMed – Educación abierta en el sur del Mediterráneo: OpenMed - Open Education in the South-Mediterranean,https://pureportal.coventry.ac.uk/en/publications/openmed-educaci%C3%B3n-abierta-en-el-sur-del-mediterr%C3%A1neo-openmed-open,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/sarah-kate-merry"
Aslam F Bagiya Y,2018,STEM outreach activities: an approach to teachers’ professional development: STEM outreach activities,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev,"https://pureportal.coventry.ac.uk/en/persons/farzana-aslam, https://pureportal.coventry.ac.uk/en/persons/yamuna-dass"
Alsop S,2018,Summary matters: How lecturers review and preview information in engineering lectures,https://pureportal.coventry.ac.uk/en/publications/summary-matters-how-lecturers-review-and-preview-information-in-e,https://pureportal.coventry.ac.uk/en/persons/sian-alsop
Jacobo J,2018,"Terminologies of ""Modern"" and ""Contemporary"" Art in Southeast Asia's Vernacular Languages: Indonesian, Javanese, Khmer, Lao, Malay, Myanmar/Burmese, Tagalog/Filipino, Thai and Vietnamese",https://pureportal.coventry.ac.uk/en/publications/terminologies-of-modern-and-contemporary-art-in-southeast-asias-v,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
DeWinter A,2018,The Benefits and Challenges of Embedding Intercultural Competencies into the Postgraduate Research Provision,https://pureportal.coventry.ac.uk/en/publications/the-benefits-and-challenges-of-embedding-intercultural-competenci,https://pureportal.coventry.ac.uk/en/persons/alun-dewinter
Gakhal S,2018,What is Teaching Excellence?,https://pureportal.coventry.ac.uk/en/publications/what-is-teaching-excellence,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
Clouder D Bluteau P,2017,An investigation to understand and evaluate the best ways to educate for and promote integrated working across the health and care sectors.,https://pureportal.coventry.ac.uk/en/publications/an-investigation-to-understand-and-evaluate-the-best-ways-to-educ,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau"
