Authors,Publication_year,Title,Publication_page_link,Authors_profile_page_link
hodd,2021,earli impact pandem mathemat compet entri uk univers,https://pureportal.coventry.ac.uk/en/publications/the-early-impact-of-the-covid-19-pandemic-on-mathematical-compete,https://pureportal.coventry.ac.uk/en/persons/mark-hodds
karaku,2021,factor predict achiev immigr student multilevel analysi pisa,https://pureportal.coventry.ac.uk/en/publications/the-factors-predicting-the-achievement-of-the-immigrant-students-,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
morini l,2021,promis higher educ,https://pureportal.coventry.ac.uk/en/publications/the-promise-of-higher-education,https://pureportal.coventry.ac.uk/en/persons/luca-morini
enderbi j carrol j,2021,role morpholog phonolog prosodi read spell multisyllab word,https://pureportal.coventry.ac.uk/en/publications/the-roles-of-morphology-phonology-and-prosody-in-reading-and-spel,"https://pureportal.coventry.ac.uk/en/persons/jodie-enderby, https://pureportal.coventry.ac.uk/en/persons/julia-carroll"
arnab master morini l,2021,toward map learn play frugal aspect develop centuri compet resili,https://pureportal.coventry.ac.uk/en/publications/towards-the-mapping-of-learning-playful-and-frugal-aspects-for-de,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/alex-masters, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
crawford,2021,unlock creativ leadership primari school,https://pureportal.coventry.ac.uk/en/publications/unlocking-creative-leadership-in-the-primary-school,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
alsop,2021,use corpu linguist educ research adjust len,https://pureportal.coventry.ac.uk/en/publications/uses-of-corpus-linguistics-in-education-research-an-adjustable-le,https://pureportal.coventry.ac.uk/en/persons/sian-alsop
angelov,2021,use narr convent analys travel stori,https://pureportal.coventry.ac.uk/en/publications/using-narrative-conventions-to-analyse-travel-stories,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov
jacobo j,2021,breast transfeminin philippin modern,https://pureportal.coventry.ac.uk/en/publications/where-her-breast-wasnt-there-transfemininity-and-the-philippine-m,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
clouder l,2021,today academ staff becom doctor student,https://pureportal.coventry.ac.uk/en/publications/who-am-i-today-academic-staff-being-and-becoming-doctoral-student,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
gilbert h hodd lawson,2021,everyon seem agre minut way forward practition perspect mathemat statist support,https://pureportal.coventry.ac.uk/en/publications/everyone-seems-to-be-agreeing-at-the-minute-that-face-to-face-is-,"https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert, https://pureportal.coventry.ac.uk/en/persons/mark-hodds, https://pureportal.coventry.ac.uk/en/persons/duncan-lawson"
wimpenni k,2020,academ develop support internation curriculum ioc qualit research synthesi,https://pureportal.coventry.ac.uk/en/publications/academic-development-to-support-the-internationalization-of-the-c,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
alsop gardner,2020,investig connect languag written feedback inform ethnic attain dispar uk higher educ,https://pureportal.coventry.ac.uk/en/publications/a-corpus-driven-investigation-of-connections-between-the-language,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
clouder,2020,qualit research synthesi explor profession touch healthcar practic use threshold concept framework,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-research-synthesis-exploring-professional-touch-in-,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
wimpenni k,2020,break boundari build bridg across commun openm,https://pureportal.coventry.ac.uk/en/publications/breaking-boundaries-and-building-bridges-across-knowledge-sharing,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
wimpenni k,2020,cultur divers adopt open educ mediterranean basin collectivist valu power distanc univers middl east,https://pureportal.coventry.ac.uk/en/publications/cultural-diversity-in-the-adoption-of-open-education-in-the-medit,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
dang q,2020,curb univers autonomi academ freedom name qualiti assur account internationalis east asia,https://pureportal.coventry.ac.uk/en/publications/curbing-university-autonomy-and-academic-freedom-in-the-name-of-q,https://pureportal.coventry.ac.uk/en/persons/que-anh-dang
wimpenni k,2020,decolonis academ selv,https://pureportal.coventry.ac.uk/en/publications/decolonising-academic-selves-through-auto-ethnography,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
chen f,2020,enhanc school safeti univers engag drr educ,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-safety-through-university-engagement-in-drr-educ,https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen
clouder l,2020,friend foe complex academ doctor student institut,https://pureportal.coventry.ac.uk/en/publications/friend-or-foe-the-complexities-of-being-an-academic-and-a-doctora,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
wimpenni k,2020,coil curriculum transform south africa curriculum decolon oper third space global collabor,https://pureportal.coventry.ac.uk/en/publications/from-coil-to-curriculum-transformation-in-south-africa-how-can-cu,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
wimpenni k,2020,innov collabor onlin intern learn holist blend,https://pureportal.coventry.ac.uk/en/publications/innovation-in-collaborative-online-international-learning-a-holis,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones"
clouder,2020,juggl compet activ academ staff doctor candid,https://pureportal.coventry.ac.uk/en/publications/juggling-competing-activities-academic-staff-as-doctoral-candidat,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
tramontano c,2020,map commun social econom risk investig associ school violenc bulli itali,https://pureportal.coventry.ac.uk/en/publications/mapping-community-social-and-economic-risks-to-investigate-the-as,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
clouder karaku,2020,neurodivers higher educ narr synthesi,https://pureportal.coventry.ac.uk/en/publications/neurodiversity-in-higher-education-a-narrative-synthesis,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus"
carrol j,2020,protocol systemat review measur attain literaci mathemat scienc,https://pureportal.coventry.ac.uk/en/publications/protocol-for-a-systematic-review-of-measures-of-attainment-in-lit,https://pureportal.coventry.ac.uk/en/persons/julia-carroll
bluteau p,2020,student engag learn experi use virtual patient simul comput support collabor learn environ,https://pureportal.coventry.ac.uk/en/publications/students-engagement-and-learning-experiences-using-virtual-patien,https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau
morini l,2020,univers,https://pureportal.coventry.ac.uk/en/publications/the-anti-ecological-university,https://pureportal.coventry.ac.uk/en/persons/luca-morini
lawson,2020,evolut mathemat support literatur review,https://pureportal.coventry.ac.uk/en/publications/the-evolution-of-mathematics-support-a-literature-review,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
lawson,2020,extent uptak mathemat support higher educ result survey,https://pureportal.coventry.ac.uk/en/publications/the-extent-and-uptake-of-mathematics-support-in-higher-education-,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
tramontano c,2020,role tradit onlin moral disengag cyberbulli externalis problem make differ,https://pureportal.coventry.ac.uk/en/publications/the-role-of-traditional-and-online-moral-disengagement-on-cyberbu,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
jacobo j,2020,toward final absolut south south approach tran resist brazil philippin,https://pureportal.coventry.ac.uk/en/publications/towards-a-final-absolution-a-south-by-south-approach-to-trans-res,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
morini l,2020,deni serious deni play emerg resist purpos game,https://pureportal.coventry.ac.uk/en/publications/you-can-deny-seriousness-but-you-cant-deny-play-emergent-resistan,https://pureportal.coventry.ac.uk/en/persons/luca-morini
arnab morini l clark,2019,participatori model drive commun engag rural indigen school case studi sarawak,https://pureportal.coventry.ac.uk/en/publications/a-participatory-co-creation-model-to-drive-community-engagement-i,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/samantha-clarke"
arnab morini l,2019,assess process game design,https://pureportal.coventry.ac.uk/en/publications/assessment-of-co-creativity-in-the-process-of-game-design,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
solomon z,2019,synthesi south african educ landscap critic analysi student attain,https://pureportal.coventry.ac.uk/en/publications/a-synthesis-of-the-south-african-educational-landscape-and-a-crit,https://pureportal.coventry.ac.uk/en/persons/zaira-solomons
karaku,2019,augment realiti research educ bibliometr studi,https://pureportal.coventry.ac.uk/en/publications/augmented-reality-research-in-education-a-bibliometric-study,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
holliday n carrol j,2019,benefit creativ method support inclus children part intergener research project,https://pureportal.coventry.ac.uk/en/publications/can-the-benefits-of-creative-methods-support-the-inclusion-of-chi,"https://pureportal.coventry.ac.uk/en/persons/nikki-holliday, https://pureportal.coventry.ac.uk/en/persons/julia-carroll"
wimpenni k dewint,2019,capac build virtual innov teach learn jordan experi jovit project,https://pureportal.coventry.ac.uk/en/publications/capacity-building-for-virtual-innovative-teaching-and-learning-in,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
wimpenni k,2019,carniv invent,https://pureportal.coventry.ac.uk/en/publications/carnival-of-invention,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
crawford,2019,connect leadership profession develop affect,https://pureportal.coventry.ac.uk/en/publications/connecting-leadership-professional-development-and-affect,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
carrol j,2019,development languag disord cognit childhood,https://pureportal.coventry.ac.uk/en/publications/developmental-language-disorder-cognition-in-childhood,https://pureportal.coventry.ac.uk/en/persons/julia-carroll
grant c tramontano c,2019,fill puzzl use wellb scale eww determin link remot cognit weari psychosomat condit,https://pureportal.coventry.ac.uk/en/publications/filling-the-puzzle-using-e-work-wellbeing-scale-eww-to-determine-,"https://pureportal.coventry.ac.uk/en/persons/christine-grant, https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano"
morini l arnab,2019,learn teach higher order think rural school case studi sarawak borneo,https://pureportal.coventry.ac.uk/en/publications/game-based-learning-to-teach-higher-order-thinking-in-rural-schoo,"https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab"
wimpenni k,2019,global widen particip learn open educ practic,https://pureportal.coventry.ac.uk/en/publications/global-knowledge-exchange-for-widening-participation-in-learning-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
crawford,2019,headteach perform manag england balanc intern extern account perform leadership,https://pureportal.coventry.ac.uk/en/publications/headteacher-performance-management-in-england-balancing-internal-,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
gakhal,2019,student qualit feedback chang onlin,https://pureportal.coventry.ac.uk/en/publications/is-students-qualitative-feedback-changing-now-it-is-online,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
cappi g,2019,promot activ learn univers themat peer group report,https://pureportal.coventry.ac.uk/en/publications/promoting-active-learning-in-universities-thematic-peer-group-rep,https://pureportal.coventry.ac.uk/en/persons/grace-cappy
johnson e,2019,represent faith use social media,https://pureportal.coventry.ac.uk/en/publications/representation-of-faith-using-social-media,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
morini l,2019,research game empir,https://pureportal.coventry.ac.uk/en/publications/research-as-a-game-of-empire,https://pureportal.coventry.ac.uk/en/persons/luca-morini
wimpenni k,2019,social commit practic issu authent art relat research,https://pureportal.coventry.ac.uk/en/publications/socially-committed-practice-issues-of-authenticity-in-arts-relate,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
aslam f bagiya,2019,stem outreach activ approach teacher profession develop,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev-3,"https://pureportal.coventry.ac.uk/en/persons/farzana-aslam, https://pureportal.coventry.ac.uk/en/persons/yamuna-dass"
wimpenni k,2019,attrit factor student engag teacher commit onlin intercultur higher educ set,https://pureportal.coventry.ac.uk/en/publications/the-attrition-factor-student-engagement-and-teacher-commitment-in,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
jacobo j,2019,bakla agi gender one,https://pureportal.coventry.ac.uk/en/publications/the-bakla-the-agi-our-genders-which-are-not-one,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
wimpenni k dewint,2019,jovit project capac build virtual innov teach learn jordan,https://pureportal.coventry.ac.uk/en/publications/the-jovital-project-capacity-building-for-virtual-innovative-teac,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
gakhal,2019,problem assess current student attain gap inform chang institut student experi provis,https://pureportal.coventry.ac.uk/en/publications/the-problem-is-here-and-now-assessing-current-student-attainment-,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
clouder cawston j wimpenni k,2019,role assist technolog renegoti inclus student disabl higher educ north africa,https://pureportal.coventry.ac.uk/en/publications/the-role-of-assistive-technology-in-renegotiating-the-inclusion-o,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
johnson e,2019,grow tree,https://pureportal.coventry.ac.uk/en/publications/to-grow-a-tree,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
alsop gardner,2019,understand attain dispar analysi languag use written feedback inform student differ background,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-a-corpus-driven-analysis-of-th,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
alsop gardner,2019,understand attain dispar case analysi languag use written feedback inform student differ background,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-the-case-for-a-corpus-driven-a,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
morini l,2019,univers increasingli stress environ take psycholog toll need chang,https://pureportal.coventry.ac.uk/en/publications/universities-increasingly-stressful-environments-taking-psycholog,https://pureportal.coventry.ac.uk/en/persons/luca-morini
alsop gardner,2019,corpu analysi tell us attain dispar pilot analysi written feedback inform student two faculti,https://pureportal.coventry.ac.uk/en/publications/what-can-corpus-analysis-tell-us-about-attainment-disparity-a-pil,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sheena-gardner"
holm,2019,know learn introduc teach learn jordan,https://pureportal.coventry.ac.uk/en/publications/we-now-know-how-to-learn-introducing-student-centred-teaching-and,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
gakhal,2018,achiev excel help student get triall new tool demonstr work,https://pureportal.coventry.ac.uk/en/publications/achieving-excellence-by-helping-more-students-to-get-on-trialling,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
johnson e evan,2018,adi interlud lad cultur,https://pureportal.coventry.ac.uk/en/publications/adys-interlude-on-lad-culture,"https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson, https://pureportal.coventry.ac.uk/en/persons/ady-evans"
brown g fri j,2018,evalu unlock natur green prison environ unlock natur,https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-unlocking-nature-greening-the-prison-environment,"https://pureportal.coventry.ac.uk/en/persons/geraldine-brown, https://pureportal.coventry.ac.uk/en/persons/jana-fried"
wimpenni k,2018,new approach digit compet build univers educ europ,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
wimpenni k,2018,new approach digit compet build univers educ europ,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ-2,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
holm,2018,investig assess qualiti educ curriculum intent implement impact,https://pureportal.coventry.ac.uk/en/publications/an-investigation-into-how-to-assess-the-quality-of-education-thro,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
arnab morini l clark,2018,case studi game design think strategi commun engag rural indigen villag,https://pureportal.coventry.ac.uk/en/publications/case-study-game-design-thinking-as-a-strategy-for-community-engag,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/samantha-clarke"
arnab morini l,2018,assess process game creation,https://pureportal.coventry.ac.uk/en/publications/co-creativity-assessment-in-the-process-of-game-creation,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
wimpenni k,2018,collabor poetic network pilot studi explor potenti collabor research,https://pureportal.coventry.ac.uk/en/publications/collaborative-poetics-network-a-pilot-study-exploring-the-potenti,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
morini l arnab,2018,engag primari school rural malaysia learn cultur pedagogi technolog,https://pureportal.coventry.ac.uk/en/publications/engaging-primary-schools-in-rural-malaysia-with-game-based-learni,"https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab"
wimpenni k,2018,explor multicultur blend cours across mediterranean,https://pureportal.coventry.ac.uk/en/publications/exploring-multicultural-e-learning-through-a-blended-course-acros,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
wimpenni k,2018,facilit perspect mediat local learn circl openm open cours,https://pureportal.coventry.ac.uk/en/publications/facilitators-perspectives-as-mediators-of-the-local-learning-circ,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
johnson e alkali,2018,hong kong new wave reflect,https://pureportal.coventry.ac.uk/en/publications/hong-kong-new-wave-reflection,"https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson, https://pureportal.coventry.ac.uk/en/persons/mabel-alkali"
johnson e,2018,ident hong kong new wave short film,https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
johnson e,2018,ident hong kong new wave short film director commentari,https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film-directors-commentary,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
wimpenni k dewint,2018,jordan opportun virtual innov teach learn need analysi report contextualis state art intern onlin teach learn particular attent jordanian case,https://pureportal.coventry.ac.uk/en/publications/jordan-opportunity-for-virtual-innovative-teaching-and-learning-a,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
wimpenni k,2018,lesson learnt collabor creation pilot cours open educ south mediterranean region,https://pureportal.coventry.ac.uk/en/publications/lessons-learnt-from-the-collaborative-creation-and-piloting-of-a-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
crawford,2018,methodolog issu research maladministr,https://pureportal.coventry.ac.uk/en/publications/methodological-issues-in-researching-maladministration,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
holm,2018,monitor evalu tepd annual report,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-tepd-2018-annual-report,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
holm,2018,obes healthi eat physic activ primari school,https://pureportal.coventry.ac.uk/en/publications/obesity-healthy-eating-and-physical-activity-in-primary-schools,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
wimpenni k merri k,2018,openm educación abierta en el sur del mediterráneo openm open educ,https://pureportal.coventry.ac.uk/en/publications/openmed-educaci%C3%B3n-abierta-en-el-sur-del-mediterr%C3%A1neo-openmed-open,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/sarah-kate-merry"
aslam f bagiya,2018,stem outreach activ approach teacher profession develop stem outreach activ,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev,"https://pureportal.coventry.ac.uk/en/persons/farzana-aslam, https://pureportal.coventry.ac.uk/en/persons/yamuna-dass"
alsop,2018,summari matter lectur review preview inform engin lectur,https://pureportal.coventry.ac.uk/en/publications/summary-matters-how-lecturers-review-and-preview-information-in-e,https://pureportal.coventry.ac.uk/en/persons/sian-alsop
jacobo j,2018,terminolog modern contemporari art southeast asia vernacular languag indonesian javanes khmer lao malay thai vietnames,https://pureportal.coventry.ac.uk/en/publications/terminologies-of-modern-and-contemporary-art-in-southeast-asias-v,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
dewint,2018,benefit challeng embed intercultur compet postgradu research provis,https://pureportal.coventry.ac.uk/en/publications/the-benefits-and-challenges-of-embedding-intercultural-competenci,https://pureportal.coventry.ac.uk/en/persons/alun-dewinter
gakhal,2018,teach excel,https://pureportal.coventry.ac.uk/en/publications/what-is-teaching-excellence,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
clouder bluteau p,2017,investig understand evalu best way educ promot integr work across health care sector,https://pureportal.coventry.ac.uk/en/publications/an-investigation-to-understand-and-evaluate-the-best-ways-to-educ,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau"
clouder,2017,empower physiotherapi student placement interplay autonomi risk respons interplay autonomi risk respons,https://pureportal.coventry.ac.uk/en/publications/empowerment-of-physiotherapy-students-on-placement-the-interplay-,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
gakhal,2017,evalu student satisfact uk univers,https://pureportal.coventry.ac.uk/en/publications/evaluating-student-satisfaction-at-a-top-performing-uk-university,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
grant c tramontano c,2017,explor relationship remot,https://pureportal.coventry.ac.uk/en/publications/exploring-the-relationship-between-remote-e-working-and-work-rela,"https://pureportal.coventry.ac.uk/en/persons/christine-grant, https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano"
holm,2017,evalu qualiti teacher train literatur review impact indic framework teacher train programm jordan,https://pureportal.coventry.ac.uk/en/publications/how-to-evaluate-quality-of-teacher-training-literature-review-and,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
holm,2017,monitor evalu teacher educ programm report,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-pre-service-teacher-education-pr,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
wimpenni k roe,2017,prepar uncertain world intern curriculum develop mental health occup therapi,https://pureportal.coventry.ac.uk/en/publications/preparation-for-an-uncertain-world-international-curriculum-devel-6,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/sarah-roe"
holm,2017,impact particip music learn mathemat,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
holm,2017,impact particip music learn mathemat,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics-2,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
clouder,2017,student know know know prove trustworthi clinic educ,https://pureportal.coventry.ac.uk/en/publications/what-students-should-know-but-dont-know-they-dont-know-about-prov,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
morini l,2016,less lone place research,https://pureportal.coventry.ac.uk/en/publications/a-less-lonely-place-of-researching,https://pureportal.coventry.ac.uk/en/persons/luca-morini
johnson e,2016,alien affect milan,https://pureportal.coventry.ac.uk/en/publications/alienation-and-affect-in-milan,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
evan,2016,link attain intercultur global citizenship,https://pureportal.coventry.ac.uk/en/publications/linking-attainment-to-interculturalism-and-global-citizenship,https://pureportal.coventry.ac.uk/en/persons/alun-dewinter
morini l,2016,play bulwark useless,https://pureportal.coventry.ac.uk/en/publications/play-as-bulwark-of-uselessness,https://pureportal.coventry.ac.uk/en/persons/luca-morini
lycett clouder,2016,protocol develop spiritu compet dietet practic,https://pureportal.coventry.ac.uk/en/publications/protocol-for-developing-spiritual-competencies-in-dietetic-practi,"https://pureportal.coventry.ac.uk/en/persons/deborah-lycett, https://pureportal.coventry.ac.uk/en/persons/deanne-clouder"
morini l,2016,mani time save world die tri,https://pureportal.coventry.ac.uk/en/publications/the-many-times-i-saved-the-world-or-died-trying,https://pureportal.coventry.ac.uk/en/persons/luca-morini
holm,2016,alway racist need reconsid teach learn holocaust,https://pureportal.coventry.ac.uk/en/publications/ive-always-not-been-a-racist-do-we-need-to-reconsider-teaching-an,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
crawford,2014,develop educ leader manag,https://pureportal.coventry.ac.uk/en/publications/developing-as-an-educational-leader-and-manager,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
holm,2014,evalu skillforc track programm,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-back-on-track-programme,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
holm,2014,evalu skillforc programm,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-ethos-programme,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
bluteau p clouder,2014,review interprofession educ uk implant interprofession educ qualifi cours eight reflect account coventri univers warwick medic school,https://pureportal.coventry.ac.uk/en/publications/review-of-interprofessional-education-in-the-uk-19972003-implanti,"https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau, https://pureportal.coventry.ac.uk/en/persons/deanne-clouder"
crawford,2014,restructur school england respons headteach,https://pureportal.coventry.ac.uk/en/publications/the-restructuring-of-schooling-in-england-the-responses-of-well-p,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
clouder,2013,enhanc guidanc disabl peopl want becom health social care profession report,https://pureportal.coventry.ac.uk/en/publications/enhancing-guidance-for-disabled-people-wanting-to-become-health-a-3,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
crawford,2013,enhanc school leadership evalu use virtual learn commun,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-leadership-evaluating-the-use-of-virtual-learnin,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
morini l,2013,il dito ed il link pensiero ed esperienza quotidiana dei nativi digitali,https://pureportal.coventry.ac.uk/en/publications/il-dito-ed-il-link-pensiero-ed-esperienza-quotidiana-dei-nativi-d,https://pureportal.coventry.ac.uk/en/persons/luca-morini
karakuş,2013,measur intellectu capit primari school examin term variabl,https://pureportal.coventry.ac.uk/en/publications/measuring-intellectual-capital-in-primary-schools-and-examining-i,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
karaku,2013,turkish adapt scale student percept teacher knowledg spotk examin aspect variabl,https://pureportal.coventry.ac.uk/en/publications/turkish-adaptation-of-the-scale-of-student-perceptions-of-teacher,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
clouder l,2012,build confid compet collabor use technolog enhanc learn resourc,https://pureportal.coventry.ac.uk/en/publications/building-confidence-competence-and-collaboration-using-technology,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
morini l,2012,mapp per transizioni verso social,https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale-2,https://pureportal.coventry.ac.uk/en/persons/luca-morini
morini l,2012,mapp per transizioni verso social,https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale,https://pureportal.coventry.ac.uk/en/persons/luca-morini
crawford,2012,map field year histor review,https://pureportal.coventry.ac.uk/en/publications/mapping-the-field-over-40-years-a-historical-review,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
angelov,2010,introduct,https://pureportal.coventry.ac.uk/en/publications/introduction-27,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov
angelov,2010,introduct,https://pureportal.coventry.ac.uk/en/publications/introduction-28,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov
